FileName	patients	group
GSM3108231_N1.CEL	1	C
GSM3108232_N2.CEL	2	C
GSM3108233_N3.CEL	3	C
GSM3108234_N4.CEL	4	C
GSM3108235_N5.CEL	5	C
GSM3108236_N6.CEL	6	C
GSM3108237_N7.CEL	7	C
GSM3108238_N8.CEL	8	C
GSM3108239_N9.CEL	9	C
GSM3108240_N10.CEL	10	C
GSM3108241_N11.CEL	11	C
GSM3108242_N12.CEL	12	C
GSM3108243_N13.CEL	13	C
GSM3108244_N14.CEL	14	C
GSM3108245_T1.CEL	1	T
GSM3108246_T2.CEL	2	T
GSM3108247_T3.CEL	3	T
GSM3108248_T4.CEL	4	T
GSM3108249_T5.CEL	5	T
GSM3108250_T6.CEL	6	T
GSM3108251_T7.CEL	7	T
GSM3108252_T8.CEL	8	T
GSM3108253_T9.CEL	9	T
GSM3108254_T10.CEL	10	T
GSM3108255_T11.CEL	11	T
GSM3108256_T12.CEL	12	T
GSM3108257_T13.CEL	13	T
GSM3108258_T14.CEL	14	T
